  lpf1,   lpf2,   lpf3,   lpf4,   lpf5,   hpf1,   hpf2,   hpf3,   hpf4,   hpf5,   bpf1,   bpf2,   bpf3,   bpf4,   bpf5,   bsf1,   bsf2,   bsf3,   bsf4,   bsf5
-0.001529, -0.000935, 0.000933, 0.001512, -0.000000, 0.001512, 0.000934, -0.000936, -0.001516, -0.000000, 0.000786, 0.002479, 0.002472, -0.000944, -0.002056, -0.000584, -0.002481, -0.002450, 0.000932, 0.001510
-0.001904, 0.000000, 0.001880, -0.000000, -0.001888, 0.001883, 0.000000, -0.001886, 0.000000, 0.001888, 0.002562, 0.003816, -0.000000, -0.003805, -0.002561, -0.001905, -0.003819, 0.000000, 0.003755, 0.001881
-0.002512, 0.001536, 0.001533, -0.002485, 0.000000, 0.002484, -0.001535, -0.001538, 0.002491, -0.000000, 0.005468, 0.004073, -0.004062, -0.001551, 0.003378, -0.004066, -0.004076, 0.004026, 0.001531, -0.002481
-0.003152, 0.003667, -0.001189, -0.002265, 0.003862, 0.003116, -0.003664, 0.001192, 0.002271, -0.003862, 0.009224, 0.001952, -0.005992, 0.005095, 0.008319, -0.006860, -0.001953, 0.005938, -0.005028, -0.006110
-0.003382, 0.005415, -0.005402, 0.003345, -0.000000, 0.003343, -0.005410, 0.005419, -0.003354, -0.000000, 0.011910, -0.002094, -0.002089, 0.005467, -0.004548, -0.008857, 0.002096, 0.002070, -0.005395, 0.003340
-0.002569, 0.004836, -0.006641, 0.007821, -0.008242, 0.002540, -0.004832, 0.006661, -0.007842, 0.008242, 0.010030, -0.004165, 0.003018, -0.001586, -0.021814, -0.007459, 0.004168, -0.002991, 0.001565, 0.016022
0.000000, -0.000000, 0.000000, -0.000000, 0.000000, -0.000000, -0.000000, -0.000000, -0.000000, -0.000000, -0.000000, 0.000000, -0.000000, 0.000000, 0.000000, -0.000000, -0.000000, -0.000000, -0.000000, -0.000000
0.004970, -0.009356, 0.012848, -0.015132, 0.015947, -0.004914, 0.009348, -0.012887, 0.015172, -0.015947, -0.019405, 0.008059, -0.005840, 0.003069, 0.042204, 0.014431, -0.008064, 0.005787, -0.003029, -0.030999
0.012756, -0.020425, 0.020379, -0.012618, -0.000000, -0.012612, 0.020408, -0.020440, 0.012652, -0.000000, -0.044927, 0.007900, 0.007879, -0.020622, 0.017155, 0.033411, -0.007905, -0.007808, 0.020350, -0.012600
0.023400, -0.027222, 0.008825, 0.016817, -0.028677, -0.023135, 0.027199, -0.008852, -0.016862, 0.028677, -0.068486, -0.014492, 0.044484, -0.037829, -0.061762, 0.050932, 0.014502, -0.044084, 0.037331, 0.045365
0.036490, -0.022318, -0.022267, 0.036096, 0.000000, -0.036077, 0.022299, 0.022335, -0.036192, -0.000000, -0.079430, -0.059166, 0.059009, 0.022533, -0.049075, 0.059071, 0.059205, -0.058478, -0.022236, 0.036046
0.051155, 0.000000, -0.050509, -0.000000, 0.050719, -0.050577, 0.000000, 0.050662, 0.000000, -0.050719, -0.068820, -0.102525, -0.000000, 0.102224, 0.068797, 0.051180, 0.102593, 0.000000, -0.100877, -0.050532
0.066143, 0.040453, -0.040363, -0.065429, -0.000000, -0.065395, -0.040420, 0.040484, 0.065603, -0.000000, -0.033988, -0.107246, -0.106962, 0.040844, 0.088954, 0.025277, 0.107317, 0.106000, -0.040306, -0.065337
0.079979, 0.093043, 0.030164, -0.057481, -0.098016, -0.079074, -0.092967, -0.030255, 0.057634, 0.098016, 0.018891, -0.049533, -0.152044, -0.129299, -0.054806, -0.014049, 0.049566, 0.150677, 0.127596, 0.040255
0.091179, 0.145996, 0.145668, 0.090195, 0.000000, -0.090148, -0.145876, -0.146108, -0.090434, -0.000000, 0.075811, 0.056470, -0.056320, -0.147405, -0.122624, -0.056379, -0.056507, 0.055814, 0.145464, 0.090069
0.098472, 0.185356, 0.254549, 0.299796, 0.315942, -0.097358, -0.185204, -0.255317, -0.300589, -0.315942, 0.119508, 0.159665, 0.115696, 0.060807, 0.020975, -0.088876, -0.159771, -0.114656, -0.060006, -0.015406
0.101004, 0.199905, 0.299185, 0.399655, 0.500706, 0.898746, 0.798963, 0.700206, 0.601069, 0.500706, 0.135881, 0.202430, 0.201893, 0.201835, 0.135837, 0.909468, 0.810258, 0.800312, 0.796707, 0.897959
0.098472, 0.185356, 0.254549, 0.299796, 0.315942, -0.097358, -0.185204, -0.255317, -0.300589, -0.315942, 0.119508, 0.159665, 0.115696, 0.060807, 0.020975, -0.088876, -0.159771, -0.114656, -0.060006, -0.015406
0.091179, 0.145996, 0.145668, 0.090195, 0.000000, -0.090148, -0.145876, -0.146108, -0.090434, -0.000000, 0.075811, 0.056470, -0.056320, -0.147405, -0.122624, -0.056379, -0.056507, 0.055814, 0.145464, 0.090069
0.079979, 0.093043, 0.030164, -0.057481, -0.098016, -0.079074, -0.092967, -0.030255, 0.057634, 0.098016, 0.018891, -0.049533, -0.152044, -0.129299, -0.054806, -0.014049, 0.049566, 0.150677, 0.127596, 0.040255
0.066143, 0.040453, -0.040363, -0.065429, -0.000000, -0.065395, -0.040420, 0.040484, 0.065603, -0.000000, -0.033988, -0.107246, -0.106962, 0.040844, 0.088954, 0.025277, 0.107317, 0.106000, -0.040306, -0.065337
0.051155, 0.000000, -0.050509, -0.000000, 0.050719, -0.050577, 0.000000, 0.050662, 0.000000, -0.050719, -0.068820, -0.102525, -0.000000, 0.102224, 0.068797, 0.051180, 0.102593, 0.000000, -0.100877, -0.050532
0.036490, -0.022318, -0.022267, 0.036096, 0.000000, -0.036077, 0.022299, 0.022335, -0.036192, -0.000000, -0.079430, -0.059166, 0.059009, 0.022533, -0.049075, 0.059071, 0.059205, -0.058478, -0.022236, 0.036046
0.023400, -0.027222, 0.008825, 0.016817, -0.028677, -0.023135, 0.027199, -0.008852, -0.016862, 0.028677, -0.068486, -0.014492, 0.044484, -0.037829, -0.061762, 0.050932, 0.014502, -0.044084, 0.037331, 0.045365
0.012756, -0.020425, 0.020379, -0.012618, -0.000000, -0.012612, 0.020408, -0.020440, 0.012652, -0.000000, -0.044927, 0.007900, 0.007879, -0.020622, 0.017155, 0.033411, -0.007905, -0.007808, 0.020350, -0.012600
0.004970, -0.009356, 0.012848, -0.015132, 0.015947, -0.004914, 0.009348, -0.012887, 0.015172, -0.015947, -0.019405, 0.008059, -0.005840, 0.003069, 0.042204, 0.014431, -0.008064, 0.005787, -0.003029, -0.030999
0.000000, -0.000000, 0.000000, -0.000000, 0.000000, -0.000000, -0.000000, -0.000000, -0.000000, -0.000000, -0.000000, 0.000000, -0.000000, 0.000000, 0.000000, -0.000000, -0.000000, -0.000000, -0.000000, -0.000000
-0.002569, 0.004836, -0.006641, 0.007821, -0.008242, 0.002540, -0.004832, 0.006661, -0.007842, 0.008242, 0.010030, -0.004165, 0.003018, -0.001586, -0.021814, -0.007459, 0.004168, -0.002991, 0.001565, 0.016022
-0.003382, 0.005415, -0.005402, 0.003345, -0.000000, 0.003343, -0.005410, 0.005419, -0.003354, -0.000000, 0.011910, -0.002094, -0.002089, 0.005467, -0.004548, -0.008857, 0.002096, 0.002070, -0.005395, 0.003340
-0.003152, 0.003667, -0.001189, -0.002265, 0.003862, 0.003116, -0.003664, 0.001192, 0.002271, -0.003862, 0.009224, 0.001952, -0.005992, 0.005095, 0.008319, -0.006860, -0.001953, 0.005938, -0.005028, -0.006110
-0.002512, 0.001536, 0.001533, -0.002485, 0.000000, 0.002484, -0.001535, -0.001538, 0.002491, -0.000000, 0.005468, 0.004073, -0.004062, -0.001551, 0.003378, -0.004066, -0.004076, 0.004026, 0.001531, -0.002481
-0.001904, 0.000000, 0.001880, -0.000000, -0.001888, 0.001883, 0.000000, -0.001886, 0.000000, 0.001888, 0.002562, 0.003816, -0.000000, -0.003805, -0.002561, -0.001905, -0.003819, 0.000000, 0.003755, 0.001881
-0.001529, -0.000935, 0.000933, 0.001512, -0.000000, 0.001512, 0.000934, -0.000936, -0.001516, -0.000000, 0.000786, 0.002479, 0.002472, -0.000944, -0.002056, -0.000584, -0.002481, -0.002450, 0.000932, 0.001510
